hotel_name,location,price,rating,score,review,link
The Blowfish Hotel,"Victoria Island, Lagos"," 138,961",Good,7.2,144 reviews,https://www.booking.com/hotel/ng/the-blowfish.en-gb.html?label=in-paLo9N5HEQwFUOiXFghN8QS379606794439%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-303403359744%3Alp21554%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfqnDqqG8nt10AsofPfvtt0&sid=991d150dbbb466b92725fa2dce6b8c2e&aid=1610684&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-02&dest_id=-2017355&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=1a816bb5595e037a&srepoch=1745248748&all_sr_blocks=78236902_115282314_2_42_0_890895&highlighted_blocks=78236902_115282314_2_42_0_890895&matching_block_id=78236902_115282314_2_42_0_890895&sr_pri_blocks=78236902_115282314_2_42_0_890895_8670&from=searchresults
Radisson Blu Anchorage Hotel,"Victoria Island, Lagos"," 344,599",Very good,8.3,642 reviews,https://www.booking.com/hotel/ng/radisson-blu-anchorage.en-gb.html?label=in-paLo9N5HEQwFUOiXFghN8QS379606794439%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-303403359744%3Alp21554%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfqnDqqG8nt10AsofPfvtt0&sid=991d150dbbb466b92725fa2dce6b8c2e&aid=1610684&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-02&dest_id=-2017355&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=1a816bb5595e037a&srepoch=1745248748&all_sr_blocks=77483402_94506623_2_42_0&highlighted_blocks=77483402_94506623_2_42_0&matching_block_id=77483402_94506623_2_42_0&sr_pri_blocks=77483402_94506623_2_42_0__21500&from=searchresults
Nexus Apartment,Lagos," 15,194",Review score,2.2,5 reviews,https://www.booking.com/hotel/ng/nexus-apartment.en-gb.html?label=in-paLo9N5HEQwFUOiXFghN8QS379606794439%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-303403359744%3Alp21554%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfqnDqqG8nt10AsofPfvtt0&sid=991d150dbbb466b92725fa2dce6b8c2e&aid=1610684&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-02&dest_id=-2017355&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=1a816bb5595e037a&srepoch=1745248748&all_sr_blocks=1316989901_404439888_2_0_0&highlighted_blocks=1316989901_404439888_2_0_0&matching_block_id=1316989901_404439888_2_0_0&sr_pri_blocks=1316989901_404439888_2_0_0__948&from=searchresults
Rhema Apartments,Lagos," 63,470",Fabulous,8.7,35 reviews,https://www.booking.com/hotel/ng/rhema-apartments.en-gb.html?label=in-paLo9N5HEQwFUOiXFghN8QS379606794439%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-303403359744%3Alp21554%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfqnDqqG8nt10AsofPfvtt0&sid=991d150dbbb466b92725fa2dce6b8c2e&aid=1610684&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-02&dest_id=-2017355&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=1a816bb5595e037a&srepoch=1745248748&all_sr_blocks=1094257301_382338319_2_0_0&highlighted_blocks=1094257301_382338319_2_0_0&matching_block_id=1094257301_382338319_2_0_0&sr_pri_blocks=1094257301_382338319_2_0_0__3960&from=searchresults
Studio Apartment - Lekki Lagos,Lagos," 18,688",Review score,4.8,11 reviews,https://www.booking.com/hotel/ng/studio-apartment-lekki-lagos.en-gb.html?label=in-paLo9N5HEQwFUOiXFghN8QS379606794439%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-303403359744%3Alp21554%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfqnDqqG8nt10AsofPfvtt0&sid=991d150dbbb466b92725fa2dce6b8c2e&aid=1610684&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-02&dest_id=-2017355&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=1a816bb5595e037a&srepoch=1745248748&all_sr_blocks=1345847101_406940418_2_0_0&highlighted_blocks=1345847101_406940418_2_0_0&matching_block_id=1345847101_406940418_2_0_0&sr_pri_blocks=1345847101_406940418_2_0_0__1166&from=searchresults
Presken Shonibare Estate,Lagos," 52,892",Review score,6.8,198 reviews,https://www.booking.com/hotel/ng/presken-shonibare-estate.en-gb.html?label=in-paLo9N5HEQwFUOiXFghN8QS379606794439%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-303403359744%3Alp21554%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfqnDqqG8nt10AsofPfvtt0&sid=991d150dbbb466b92725fa2dce6b8c2e&aid=1610684&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-02&dest_id=-2017355&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=1a816bb5595e037a&srepoch=1745248748&all_sr_blocks=977225702_370039001_2_1_0&highlighted_blocks=977225702_370039001_2_1_0&matching_block_id=977225702_370039001_2_1_0&sr_pri_blocks=977225702_370039001_2_1_0__3300&from=searchresults
Vintage Classic Lodge,"Lekki Phase 1, Lagos"," 30,148",Review score,4.8,5 reviews,https://www.booking.com/hotel/ng/vintage-classic-lodge-lagos.en-gb.html?label=in-paLo9N5HEQwFUOiXFghN8QS379606794439%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-303403359744%3Alp21554%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfqnDqqG8nt10AsofPfvtt0&sid=991d150dbbb466b92725fa2dce6b8c2e&aid=1610684&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-02&dest_id=-2017355&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=1a816bb5595e037a&srepoch=1745248748&all_sr_blocks=1365374503_408831335_0_0_0&highlighted_blocks=1365374503_408831335_0_0_0&matching_block_id=1365374503_408831335_0_0_0&sr_pri_blocks=1365374503_408831335_0_0_0__1881&from=searchresults
NO 95 SUITES VI,"Victoria Island, Lagos"," 52,892",Very good,8.1,216 reviews,https://www.booking.com/hotel/ng/no-95-suites-vi-lagos1.en-gb.html?label=in-paLo9N5HEQwFUOiXFghN8QS379606794439%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-303403359744%3Alp21554%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfqnDqqG8nt10AsofPfvtt0&sid=991d150dbbb466b92725fa2dce6b8c2e&aid=1610684&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-02&dest_id=-2017355&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=1a816bb5595e037a&srepoch=1745248748&all_sr_blocks=1042408401_376652157_2_1_0&highlighted_blocks=1042408401_376652157_2_1_0&matching_block_id=1042408401_376652157_2_1_0&sr_pri_blocks=1042408401_376652157_2_1_0__3300&from=searchresults
Home Stay - Lekki Lagos,Lagos," 27,408",Review score,4.7,3 reviews,https://www.booking.com/hotel/ng/home-stay-lekki-lagos-lagos.en-gb.html?label=in-paLo9N5HEQwFUOiXFghN8QS379606794439%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-303403359744%3Alp21554%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfqnDqqG8nt10AsofPfvtt0&sid=991d150dbbb466b92725fa2dce6b8c2e&aid=1610684&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-02&dest_id=-2017355&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=1a816bb5595e037a&srepoch=1745248748&all_sr_blocks=1364828201_408782383_2_0_0&highlighted_blocks=1364828201_408782383_2_0_0&matching_block_id=1364828201_408782383_2_0_0&sr_pri_blocks=1364828201_408782383_2_0_0__1710&from=searchresults
